numS,alpha,alphaErr,aGGInv,aGGInvErr,rhoVpA,rhoVpAErr,cVpA,cVpAErr,chi,chiDof,edm,sSet,weight
1,0.3179,0,0.021,0,-0.212714202558006,1.04227064150865,-0.510414004625155,4.93603449020949,9.61985964821199e-06,-9.61985964821199e-06,9.61024939740929e-06,[3.1572314596],1
2,0.3179,0,0.021,0,0.794684186119971,1.90993226861694,4.25949404772495,8.83187550782361,1.82944343162867e-09,inf,1.8294432422385e-09,[3.1572314596 3],1
3,0.3179,0,0.021,0,0.436497207507332,0.281122594566704,2.59909348888447,1.14618687125013,0.0359341971289837,0.0359341971289837,2.20011491903648e-10,[3.1572314596 3 2.8],1
4,0.3179,0,0.021,0,0.0923057183833794,0.137083440337947,1.12426611692562,0.455798389531691,2.00258280620594,1.00129140310297,7.25176890561737e-11,[3.1572314596 3 2.8 2.6],1
5,0.3179,0,0.021,0,-0.0803391218449271,0.0971493360340417,0.473613780596043,0.273656567122002,5.18852599023481,1.7295086634116,1.0543087234193e-09,[3.1572314596 3 2.8 2.6 2.4],1
6,0.3179,0,0.021,0,-0.134391569766155,0.081588085140322,0.290486065732656,0.207283438907651,6.23949169460548,1.55987292365137,5.95299391421538e-11,[3.1572314596 3 2.8 2.6 2.4 2.3],1
7,0.3179,0,0.021,0,-0.19225498121723,0.0737846347279746,0.111479640495883,0.177046641246266,8.99026971475359,1.79805394295072,5.30329189535894e-09,[3.1572314596 3 2.8 2.6 2.4 2.3 2.2],1
8,0.3179,0,0.021,0,-0.152952709887748,0.0652715924105875,0.225458974551531,0.14619219501584,10.2895454198406,1.7149242366401,6.27819936976229e-08,[3.1572314596 3 2.8 2.6 2.4 2.3 2.2 2.1],1
9,0.3179,0,0.021,0,-0.146364732477196,0.0577373128047967,0.24317304297977,0.121444434111662,10.3379251875449,1.47684645536356,1.85139301859155e-07,[3.1572314596 3 2.8 2.6 2.4 2.3 2.2 2.1 2],1
